Station,Latitude,Longitude
Jurong East,1.333152816,103.7422863
Bukit Batok,1.349033312,103.7495665
Bukit Gombak,1.358611591,103.7517909
Choa Chu Kang,1.38536847,103.7440849
Yew Tee,1.397535069,103.7474052
Kranji,1.425086981,103.7621375
Marsiling,1.432521149,103.7740746
Woodlands,1.43681963,103.7860668
Admiralty,1.440588562,103.8009905
Sembawang,1.449050822,103.8200461
Canberra,1.443076641,103.8297026
Yishun,1.429443085,103.835005
Khatib,1.41738337,103.8329799
Yio Chu Kang,1.381755871,103.8449473
Ang Mo Kio,1.36993285,103.8495581
Bishan,1.351018898,103.8500572
Braddell,1.340105207,103.8467559
Toa Payoh,1.332629281,103.8475022
Novena,1.320440791,103.8438256
Newton,1.312570317,103.8380316
Orchard,1.302422248,103.8238685
Somerset,1.300252877,103.8391583
Dhoby Ghaut,1.298911644,103.8462925
City Hall,1.292989907,103.8525426
Raffles Place,1.283933262,103.8514631
Marina Bay,1.276311144,103.854605
Marina South Pier,1.271027036,103.8624475
Pasir Ris,1.367129283,103.9605573
Tampines,1.356191483,103.9546345
Simei,1.343197079,103.9533772
Tanah Merah,1.327187291,103.9463486
Bedok,1.323979969,103.9299845
Kembangan,1.321038134,103.9129479
Eunos,1.319783549,103.9032258
Paya Lebar,1.317247385,103.8922608
Aljunied,1.316432612,103.882906
Kallang,1.31148891,103.8713865
Lavender,1.307391879,103.8627846
Bugis,1.30026469,103.8556148
City Hall,1.292989907,103.8525426
Raffles Place,1.283933262,103.8514631
Tanjong Pagar,1.276561317,103.8457252
Outram Park,1.280241533,103.8400521
Tiong Bahru,1.286194579,103.8269989
Redhill,1.289634534,103.816741
Queenstown,1.294550852,103.8060772
Commonwealth,1.302501999,103.7982285
Buona Vista,1.306275348,103.7903632
Dover,1.311405293,103.7786378
Clementi,1.315116253,103.7651915
Jurong East,1.333152816,103.7422863
Chinese Garden,1.342352821,103.7325967
Lakeside,1.344259115,103.7209491
Boon Lay,1.338604055,103.7060646
Pioneer,1.337587011,103.6973216
Joo Koon,1.327717041,103.678375
Gul Circle,1.319470901,103.6605305
Tuas Crescent,1.321026956,103.6490782
Tuas West Road,1.329985047,103.6396166
Tuas Link,1.340882425,103.6369914
Expo,1.334549778,103.9615482
Changi Airport,1.357478974,103.9878836
HarbourFront,1.265311399,103.8205573
Outram Park,1.280241533,103.8400521
Chinatown,1.283964052,103.8431419
Clarke Quay,1.287452114,103.8461192
Dhoby Ghaut,1.298911644,103.8462925
Little India,1.307243816,103.8498416
Farrer Park,1.3131403,103.8547547
Boon Keng,1.319939577,103.8620527
Potong Pasir,1.331378085,103.8693635
Woodleigh,1.339828246,103.8709609
